file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
te500-keyabcd20-rep10-433920000.iq,802d30d0e931535702287a18c8b962c0359b06126dd3a75feba9684fbbe268e2,433920000,250000,28.0,1250000,ABCD20,500,10,20,131072,,,499,2d6648a7e7dffaa0e267c7031864f402,7,packet-schema probe
te500-keyabcd21-rep10-433920000.iq,26af9ea2d2e1ea637acc122771412d114755affd3d1057b28558f3e1a0fc836c,433920000,250000,28.0,1250000,ABCD21,500,10,20,131072,,,499,f20db45ac8376a301d805ea0f4f77329,7,packet-schema probe
te500-keyc0ffee-rep1-433920000.iq,6492612116e4b38333598efaaf3e29108394872914b52f501df5de3731d02cf7,433920000,250000,28.0,1250000,C0FFEE,500,1,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,repeat-variation metamer capture
te500-keyc0ffee-rep10-433920000.iq,cd65815c0c9f6d8ab1b2196b43b01b2b47a60efec6db826b93937a7978ef9901,433920000,250000,28.0,1250000,C0FFEE,500,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,canonical full-file C0FFEE family
te500-keyc0ffee-rep10-run2-433920000.iq,a5a25fa8243aba72be70ee5abe4a6ab3b6e9db8b414b33a6e8f11d09e7d008ee,433920000,250000,28.0,1250000,C0FFEE,500,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,repeat capture for replay and repeatability checks
te500-keyc0ffee-rep10-run3-433920000.iq,9103eb7aef6d78fe5aac230798ac06b6d4b0e172d9aed777d4751dcc0651729c,433920000,250000,28.0,1250000,C0FFEE,500,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,repeat capture for replay and repeatability checks
te500-keyc0ffee-rep20-433920000.iq,1e8ec62280de411efd16936c74eefec2a0a02a9759eec1a4e357492f83e9d48b,433920000,250000,28.0,1250000,C0FFEE,500,20,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,repeat-variation metamer capture
te500-keyc0ffee-rep3-433920000.iq,056ca333ecdd657779e89716b35a15d0ee616ac4cd3636b52747252492368b66,433920000,250000,28.0,1250000,C0FFEE,500,3,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,7,repeat-variation metamer capture
te520-key7ea5b0-rep10-433920000.iq,9af071b075bd1af70cd5a24556ffa7b9d76304db890b5b01545ba19bc234d0c9,433920000,250000,28.0,1250000,7EA5B0,520,10,20,131072,,,499,c7ae6bd72816cb7860be44be68a3e42b,7,canonical full-file 7EA5B0 family
te545-key1ceb00-rep10-433920000.iq,d6317e3c0389a0571506c760b3ca321a499eece4de1044d9f29fbd9541e15c73,433920000,250000,28.0,1250000,1CEB00,545,10,20,131072,,,499,6b8e88830c92d7161379dbab96d29486,7,canonical full-file 1CEB00 family
